0,timeStamp,rawAltitude,filteredAltitude,speed,message,
1,262,-0.5,-0.01,0,,
1,310,-0.79,-0.04,0.01,,
1,371,-0.4,-0.09,0.03,,
1,462,-0.79,-0.17,0.05,,
1,562,-0.4,-0.26,0.07,,
1,662,-0.1,-0.35,0.09,,
1,762,-0.2,-0.43,0.09,,
1,862,-0.1,-0.47,0.07,,
1,962,-0.69,-0.48,0.04,,
1,1062,-0.4,-0.46,0.01,,
1,1162,-0.4,-0.43,0.01,,
1,1262,-0.5,-0.4,0.03,,
1,1362,0.2,-0.37,0.03,,
1,1462,-0.2,-0.33,0.03,,
1,1562,-0.2,-0.3,0.03,,
1,1662,-0.5,-0.27,0.03,,
1,1762,-0.1,-0.25,0.03,,
1,1862,-0.59,-0.23,0.02,,
1,1963,-0.59,-0.24,0.01,,
1,2062,-0.69,-0.27,0.01,,
1,2162,-0.4,-0.32,0.03,,
1,2262,-0.79,-0.38,0.05,,
1,2362,-0.89,-0.46,0.06,,
1,2461,0,-0.52,0.07,,
1,2562,-0.4,-0.57,0.06,,
1,2662,-0.2,-0.59,0.04,,
1,2762,-0.69,-0.58,0.02,,
1,2862,-0.69,-0.56,0,,
1,2962,-0.69,-0.53,0.02,,
1,3062,-0.1,-0.5,0.03,,
1,3162,-0.3,-0.47,0.03,,
1,3262,-0.4,-0.45,0.03,,
1,3362,-0.4,-0.43,0.02,,
1,3462,-0.69,-0.42,0.02,,
1,3562,-0.3,-0.4,0.02,,
1,3662,-1.18,-0.41,0.01,,
1,3762,0,-0.43,0.01,,
1,3862,-0.2,-0.45,0.01,,
1,3962,-0.5,-0.47,0.02,,
1,4062,-0.3,-0.48,0.01,,
1,4162,-0.3,-0.46,0,,
1,4261,0,-0.43,0.01,,
1,4362,-0.2,-0.39,0.03,,
1,4462,-0.5,-0.34,0.04,,
1,4562,-0.5,-0.3,0.04,,
1,4662,-0.1,-0.27,0.04,,
1,4762,-0.1,-0.25,0.03,,
1,4862,-0.1,-0.24,0.02,,
1,4962,-0.98,-0.24,0.01,,
1,5062,-0.4,-0.26,0,,
1,5163,-0.79,-0.29,0.02,,
1,5262,-0.5,-0.35,0.04,,
1,5362,-0.69,-0.41,0.05,,
1,5463,-0.69,-0.49,0.07,,
1,5562,-0.59,-0.56,0.07,,
1,5662,-0.79,-0.62,0.07,,
1,5762,-0.5,-0.66,0.06,,
1,5862,-0.5,-0.68,0.04,,
1,5962,-0.59,-0.69,0.02,,
1,6062,-0.59,-0.67,0.01,,
1,6162,-0.4,-0.65,0.01,,
1,6262,-0.5,-0.61,0.03,,
1,6362,-0.59,-0.57,0.03,,
1,6462,-0.79,-0.55,0.03,,
1,6562,-0.5,-0.53,0.03,,
1,6662,-0.79,-0.52,0.02,,
1,6762,-0.5,-0.54,0,,
1,6862,-0.5,-0.55,0.01,,
1,6962,-0.5,-0.57,0.02,,
1,7062,-0.4,-0.58,0.02,,
1,7162,-0.69,-0.58,0.01,,
1,7262,-0.5,-0.58,0,,
1,7362,0,-0.55,0.01,,
1,7462,-0.5,-0.52,0.02,,
1,7562,-0.98,-0.5,0.03,,
1,7662,-0.3,-0.48,0.03,,
1,7762,-0.69,-0.46,0.02,,
1,7862,-0.4,-0.47,0.01,,
1,7962,-0.69,-0.48,0,,
1,8062,-0.4,-0.5,0.01,,
1,8162,-0.4,-0.51,0.02,,
1,8262,-0.69,-0.53,0.02,,
1,8363,-0.5,-0.54,0.01,,
1,8462,-0.69,-0.54,0.01,,
1,8562,-0.5,-0.55,0.01,,
1,8663,-0.59,-0.55,0.01,,
1,8762,-0.5,-0.56,0,,
1,8862,-0.59,-0.56,0,,
1,8962,-0.4,-0.56,0,,
1,9062,-0.79,-0.56,0,,
1,9161,0,-0.55,0,,
1,9262,-0.2,-0.52,0.01,,
1,9362,-0.3,-0.49,0.02,,
1,9462,-0.89,-0.46,0.03,,
1,9562,-0.2,-0.42,0.03,,
1,9662,-0.59,-0.39,0.03,,
1,9762,-0.69,-0.39,0.02,,
1,9862,-0.3,-0.4,0.01,,
1,9962,-0.4,-0.42,0.01,,
1,10062,-0.3,-0.44,0.02,,
1,10162,-0.69,-0.45,0.02,,
1,10262,-0.5,-0.47,0.02,,
1,10361,0,-0.47,0.01,,
1,10462,-0.59,-0.46,0,,
1,10562,-0.3,-0.45,0.01,,
1,10662,-0.79,-0.44,0.01,,
1,10762,-0.69,-0.43,0.01,,
1,10862,-0.4,-0.44,0,,
1,10962,-0.2,-0.45,0,,
1,11062,-0.69,-0.47,0.01,,
1,11162,-0.5,-0.48,0.02,,
1,11262,-0.4,-0.49,0.01,,
1,11362,-0.5,-0.5,0.01,,
1,11462,-0.5,-0.5,0.01,,
1,11563,-0.5,-0.5,0,,
1,11662,-0.5,-0.49,0,,
1,11762,-0.3,-0.49,0,,
1,11863,-0.5,-0.48,0.01,,
1,11962,-0.4,-0.47,0.01,,
1,12062,-0.2,-0.45,0.01,,
1,12162,-0.4,-0.43,0.02,,
1,12262,-0.4,-0.41,0.02,,
1,12362,0.2,-0.38,0.02,,
1,12462,-0.5,-0.35,0.03,,
1,12562,0,-0.31,0.03,,
1,12662,-0.59,-0.28,0.03,,
1,12762,0,-0.25,0.03,,
1,12862,-0.1,-0.22,0.03,,
1,12962,-0.3,-0.21,0.02,,
1,13062,-0.1,-0.2,0.02,,
1,13162,0.2,-0.18,0.01,,
1,13262,-0.2,-0.16,0.02,,
1,13362,-0.2,-0.15,0.02,,
1,13462,0.3,-0.12,0.02,,
1,13562,-0.5,-0.1,0.02,,
1,13662,-0.3,-0.09,0.02,,
1,13762,-0.3,-0.09,0.01,,
1,13862,-0.3,-0.11,0,,
1,13962,-0.2,-0.15,0.02,,
1,14062,-0.3,-0.19,0.03,,
1,14162,-0.3,-0.23,0.04,,
1,14262,-0.5,-0.26,0.04,,
1,14362,-0.79,-0.31,0.04,,
1,14462,-0.59,-0.35,0.04,,
1,14562,-0.4,-0.4,0.04,,
1,14662,-0.2,-0.44,0.04,,
1,14763,-0.3,-0.47,0.04,,
1,14862,-0.5,-0.48,0.03,,
1,14962,-0.2,-0.48,0.01,,
1,15063,-0.5,-0.45,0.01,,
1,15162,-0.4,-0.43,0.02,,
1,15262,-0.4,-0.4,0.03,,
1,15362,-0.79,-0.38,0.02,,
1,15462,-0.3,-0.38,0.01,,
